segment,start,end,duration_seconds,text
187,1055.57,1057.613,2.04,So I think we need to continue
188,1058.073,1068.896,10.82,"building upon what Secretary-General Guterres has done, because he has ensured that in all senior positions, women and men are parity, 50-50."
189,1069.356,1070.977,1.62,But that has to go down as well.
190,1071.397,1078.139,6.74,"But also in the Secretariat, you have to have better representation, gender representation, geographical representation, et cetera."
191,1078.919,1085.644,6.72,We also need to continue speaking out loud about women's rights and to ensure that we don't have a bigger backlash.
192,1086.165,1088.366,2.2,I saw that backlash when I was new in women.
193,1088.426,1089.667,1.24,I will continue doing that job.
194,1090.248,1094.231,3.98,We need to build alliances with governments to push for gender rights.
195,1094.731,1098.634,3.9,"And the other question, and the same with civic space."
196,1099.155,1102.017,2.86,We need people being part of the solution.
197,1102.477,1109.66,7.18,"I mean, even in our common agenda, we said that we need to redefine what the international community was."
198,1110.08,1120.163,10.08,"It was not only about intergovernmental, it needed also to have all these other activists, civil society, academia, private sector, et cetera."
199,1120.203,1126.926,6.72,So that we need to continue opening these six spaces and trying also to reach out member states to continue doing so.
202,1150.217,1150.757,0.54,I would engage.
211,1188.766,1195.97,7.2,"If I'm Secretary General, I have to maintain climate change in the agenda because some countries are still saying that climate change doesn't exist."
212,1196.53,1204.875,8.35,Some countries are discussing about going back to coal and other fossil combustibles and I think that's very dangerous.
213,1205.456,1211.919,6.46,So we need first of all to continue showing science with evidence why climate change is a reality and we need to maintain.
214,1212.119,1216.662,4.54,And then we need to think on how we finance it because climate action needs support.
215,1217.335,1225.501,8.17,"And today, you know, the countries who have less contributed to the climate change, to the problems, are the ones who receive less money."
216,1225.981,1243.434,17.45,"So we need to think of innovative mechanisms, for example, like debt climate swaps or other mechanisms that can ensure that countries who are not the responsible ones can really have the resources to do their mitigation and adaptation plans and so on."
228,1318.562,1339.13,20.57,"Well, I think that one of the main tasks that the UN has to ensure is to protect lives and protect lives not only trying to avoid conflicts but also to deal with the results not only on conflict but because you need a military assistance also when you have diseases, when you have"
229,1343.481,1344.882,1.4,natural disasters and so on.
230,1345.523,1360.855,15.33,"So I believe that humanitarian assistance is key, but it has to be also related to the other areas that we need to work on because of course we have to provide humanitarian assistance when things are happening, but as I said before,"
231,1361.256,1367.761,6.5,we need to prevent them from happening because probably there will never be enough resources to solve all those problems.
232,1368.321,1376.628,8.31,"And prevention is essentially to avoid not only the losses of life, the situation you mentioned, but also the cost that it means."
233,1377.048,1389.017,11.97,"But on the other hand, I believe there is a huge group of people with a lot of experience that have done fantastic jobs on humanitarian assistance and I think we need to continue supporting them strongly."
236,1409.678,1409.878,0.2,Yeah.
237,1411.671,1422.857,11.19,I know that the UNED reform is mainly being pushed because of cost cutting and because of lack of liquidity.
238,1423.657,1431.982,8.33,"But if you have savings making all those initiatives that the reform intends to do, avoiding the redundancy and so on,"
239,1432.782,1437.926,5.14,"That doesn't – that needs to be put, those money, in the areas that you prioritize."
240,1438.286,1444.791,6.5,"Again, I will look like somebody who's repeating, but human rights, development, and peace and security."
241,1445.331,1453.857,8.53,"Because the thing of the reform is not to do more with less, it's to do better and put the money where the priorities are."
242,1454.057,1458.1,4.04,"Because you believe the critics who say it is too bloated, you do need to slim it down?"
243,1458.54,1461.983,3.44,"No, I do believe that the UN has to be leaner,"
244,1462.563,1464.844,2.28,"but muscle, not leaner but weak."
245,1465.364,1478.471,13.11,"So one of the things that I believe and I will push strongly is that it can be a reform, it can be, it must be a reform, it's an opportunity as well, but what cannot happen is to diminish the field capacity."
246,1478.771,1486.735,7.96,And it cannot happen not to do what it needs to do because otherwise we're losing the essentials that make this new organization exist.
250,1506.783,1509.865,3.08,"Well, I'm not sure if I'm that master."
251,1510.025,1515.468,5.44,"Because when things are very complicated, you need to be there energetically."
252,1516.268,1524.653,8.38,The only thing that I want to say is that for me to be a secretary-general is not to be the glory of to be the first women secretary-general.
253,1525.894,1528.135,2.24,I have many glories in my life and I don't need more.
254,1528.275,1529.075,0.8,So what is your hobby?
255,1529.916,1530.916,1.0,You've got five seconds.
256,1530.956,1531.537,0.58,My hobby?
257,1531.957,1532.898,0.94,"Read, dance."
260,1536.079,1539.922,3.84,"But one thing I said, I would like to be a secretary-general if it's worthy."
261,1540.522,1544.264,3.74,"If I can be really independent, neutral, and serve all member states."
262,1544.704,1545.685,0.98,That is what I would like.
