segment,statement_index,start,end,statement,is_i_statement,is_we_statement,i_pronoun_count,we_pronoun_count
45,0,278.941,285.403,"Third, we need to work together to harness and manage the power of AI",False,True,0,1
46,0,286.303,287.663,This is not a tech issue,False,False,0,0
47,0,288.504,290.164,It is a security issue,False,False,0,0
48,0,290.904,292.465,It is a jobs issue,False,False,0,0
49,0,293.425,295.606,It is a rights issue,False,False,0,0
50,0,296.706,300.527,No single state or company should call the shots,False,False,0,0
51,0,301.509,317.133,"The UN cannot and should not regulate everything, but it must bring people together, including civil society and young people, those that are normally shut out of these conversations",False,False,0,0
52,0,317.753,322.455,"And finally, we have to change the UN for the better, not the cheaper",False,True,0,1
53,0,323.455,325.037,"Yes, we have to cut costs",False,True,0,1
54,0,325.457,326.378,That is essential,False,False,0,0
55,0,326.659,328.601,But that cannot be our only goal,False,True,0,1
56,0,328.741,330.983,Reform must mean doing better,False,False,0,0
57,0,331.664,335.308,"That means focusing on demand, not supply",False,False,0,0
58,0,335.829,342.796,That means being prepared to let go of some functions entirely and focus on the organization's greatest strengths,False,False,0,0
59,0,343.637,355.844,"Ultimately, you, in this room and outside, will not judge the UN by the number of reform initiatives, nor by whether it has improved your lives and your future",False,False,0,0
60,0,356.705,359.586,That is the UN I want to build,True,False,1,0
61,0,360.387,363.929,"With governments, with a strong leadership team, and with you, of course",False,False,0,0
62,0,364.509,369.032,"I do not pretend to have all the answers, but this is not a task for one individual",True,False,1,0
63,0,369.372,372.574,The United Nations is a promise we must all keep,False,True,0,1
64,0,373.814,375.695,So here's what I offer,True,False,1,0
65,0,376.836,380.459,A life devoted to serving my country and the international community,True,False,1,0
66,0,381.079,387.344,An insider-outsider perspective as someone who understands the system but is not captured by it,False,False,0,0
67,0,388.164,394.349,A track record of working across all the pillars of the UN and with people from all walks of life,False,False,0,0
68,0,395.411,405.698,"a firm commitment without fear or favor to the values of the Charter, to international law, and to serving all Member States and the world 8 billion people",False,False,0,0
69,0,406.518,416.965,"This summer, I suspect many of you will be hoping that England's men's team will lift the World Cup after 60 long years of waiting",True,False,1,0
70,0,418.385,423.749,"Well, it has been 80 years of waiting for a woman to lead the UN",False,False,0,0
71,0,425.317,434.222,So this is our opportunity to show the UN can walk the talk on equality and results,False,True,0,1
72,0,434.522,437.063,This is the United Nations I'm prepared to build,True,False,1,0
73,0,437.464,440.785,"Not a perfect institution, but a serious, compassionate one",False,False,0,0
74,0,441.346,446.528,"Not a louder UN, but a more relevant one that delivers where it matters most",False,False,0,0
75,0,446.909,447.409,I thank you,True,False,1,0
81,0,486.242,492.888,"Well, I think I have the experience to navigate in turbulent waters",True,False,2,0
82,0,493.614,496.715,I think the UN has never been Disneyland,True,False,1,0
83,0,497.036,511.002,"I think that what is important is to see a secretary general that is impartial, that is able to build bridges, to work with everybody",True,False,1,0
84,0,511.502,514.503,I have shown that when I was president of the General Assembly,True,False,2,0
85,0,515.024,517.425,I think we need a secretary general that is,True,True,1,1
86,0,519.214,531.7,"360 secretary-general that knows every pillar of the UN, that is not a person that is not a single-issue person, but more like a Renaissance leader",False,False,0,0
87,0,533.746,550.637,"You also need, what I just said, Liz, you need an insider-outsider, knowing how the UN works, its potential, its challenges, but have, you know, been able to not be captured by the UN",True,False,1,0
88,0,550.677,558.102,"I have never worked for the UN, but served the UN in many ways through the UN for about 25 years",True,False,1,0
95,0,576.434,576.674,Yes,False,False,0,0
96,0,577.875,578.936,I'm a poet,True,False,1,0
97,0,579.076,581.657,I strongly believe in the power of words,True,False,1,0
98,0,582.358,585.04,I strongly believe in the power of narratives,True,False,1,0
100,0,586.681,590.163,"Communication, but also being faithful to what you say",False,False,0,0
101,0,590.868,591.568,Okay,False,False,0,0
102,0,591.688,593.549,And I think it's absolutely important,True,False,1,0
103,0,593.709,600.572,"As a poet, I learn, first of all, to observe, to deep listen, and to act, and act firmly",True,False,1,0
104,0,601.152,601.412,Okay,False,False,0,0
105,0,601.432,605.734,"And I also, of course, learn about beauty and about creativity and innovation",True,False,1,0
113,0,656.611,657.992,I think that they're vital,True,False,1,0
114,0,658.592,664.676,"When I think about integrity, I don't think that integrity should be proclaimed",True,False,2,0
115,0,665.476,666.417,It should be earned,False,False,0,0
116,0,667.423,673.329,"through consistent behavior, and I can show that throughout my 25 years of career and public life",True,False,2,0
117,0,674.109,682.578,"The second very important issue is I would sign the five principles that I read carefully right away, just now",True,False,2,0
118,0,682.598,686.261,We'll get that from you,False,True,0,1
119,0,686.321,692.047,"When I was exploring the possibility of putting my name forward as Secretary General,",True,False,2,0
120,0,692.978,698.52,"I was the executive director of a very small NGO, not a UN agency",True,False,1,0
121,0,700.321,710.524,"Before I started the consultations, I stepped down from my job just in case there was perception of conflict of interest",True,False,3,0
122,0,710.624,712.385,"The issue of civil society,",False,False,0,0
123,0,714.388,716.709,It's a little bit of who I am,True,False,1,0
124,0,717.43,723.174,"In civil societies, participation and engagement is not only about ticking the box",False,False,0,0
125,0,724.035,730.08,It is about understanding that the huge implementation gap of the United Nations,False,False,0,0
126,0,730.946,747.595,"is due to the lack of ownership, the lack of co-responsibility and lack of space of civil society to do the advice, the advocacy, the translation of UN decision-making into the daily life of people",False,False,0,0
127,0,747.955,751.016,So the role of civil society is absolutely vital,False,False,0,0
128,0,751.336,761.358,"Disclosing the financial, of course, not at the beginning and at the end, but during the process as well, ready to do that, very happy to do that, of course",False,False,0,0
136,0,796.011,797.171,The veto power,False,False,0,0
137,0,797.491,798.852,I'm assuming you would want to stop them,True,False,1,0
138,0,799.696,803.061,What I'm saying is that the veto power is written in the Charter,True,False,1,0
139,0,803.381,805.464,It's a principle that is in the Charter,False,False,0,0
140,0,806.045,808.368,And I think we have to be very frank and honest,True,True,1,1
141,0,808.809,812.073,What is the space of movement of the Secretary General,False,False,0,0
142,0,812.481,825.393,"The Secretary General should provide good offices, create the platforms for member states, especially the P5 and the members of the Security Council, to come together to discuss issues, to respond quickly",False,False,0,0
143,0,825.893,834.381,"That's where my early action hub makes sense, because the role of the UN is to prevent wars and protect people",True,False,1,0
144,0,834.661,840.285,"You don't think there should be a veto when it comes to the worst abuses, the worst violations",False,False,0,0
145,0,840.345,847.99,"I can have my personal views on this, but I think what we're talking here is what is the role of the Secretary General",True,True,3,1
146,0,848.31,861.6,"And the role of the Secretary General is a quiet diplomacy, back channels, to have a permanent and constant interaction and communication with the members of the Security Council, including the P5",False,False,0,0
147,0,862.12,864.202,"Here, my personal opinion doesn't count",True,False,1,0
148,0,864.542,874.733,"I will be the chief administrative officer of the UN, the lead diplomat, the lead advocate, but I cannot reinterpret the Charter, unfortunately",True,False,2,0
150,0,881.299,889.606,"I can use my good offices in talking to the members of the Security Council, especially to the permanent five, of course",True,False,2,0
151,0,889.886,891.148,It doesn't need to be public,False,False,0,0
152,0,891.288,893.209,It doesn't need to make headlines,False,False,0,0
153,0,893.469,896.092,That's part of the job of the Secretary General,False,False,0,0
156,0,905.28,905.44,No,False,False,0,0
157,0,906.12,906.861,"Yes, all good",False,False,0,0
158,0,909.787,910.988,Go ahead,False,False,0,0
163,0,939.817,946.959,"Well, now it's in fashion to say, you know, young people are important, youth are important",False,False,0,0
164,0,948.019,955.141,"In the process of negotiating the pact of the future, we came out with a declaration for future generations",False,True,0,1
165,0,955.941,961.083,"And the truth is that young people are not the future, they are the present",False,False,0,0
166,0,961.71,965.955,"They have to be part of the conversation, part of the decision making",False,False,0,0
167,0,966.516,971.942,"If you look at the team that is working with me right now, most of them are under 30",True,False,1,0
168,0,972.443,975.967,And I listen to them because they are the most creative,True,False,1,0
169,0,976.067,978.751,"They are the smartest, the well-informed",False,False,0,0
170,0,979.251,980.672,And what would you do to include them,False,False,0,0
171,0,981.052,988.314,"Well, first of all, we have the Declaration on Future Generations, a new and I applaud that a new office for young people",True,True,1,1
172,0,988.674,996.397,"But basically, I would recruit as part of my senior team, young people, I'm working with them right now, and I will ensure",True,False,4,0
173,0,996.777,1009.408,"that decision-making in the House brings in the advice, the voice and the space for young people to be part of a new multilateralism of the 21st century",False,False,0,0
174,0,1009.729,1018.236,"Not to tick the box, but to make them part of the decision-making in the House, respecting, of course, the intergovernmental nature of the United Nations",False,False,0,0
175,0,1018.476,1020.698,"But they are the agents of today, not of tomorrow",False,False,0,0
187,0,1079.345,1079.965,This was in 2013,False,False,0,0
188,0,1080.005,1081.385,"Thank you, Moon",False,False,0,0
189,0,1081.806,1090.528,"First of all, I think all good initiatives from the past and the current administration are not a leader of slash and burn",True,False,1,0
190,0,1091.048,1096.969,"All the good examples, all the good initiatives in the three pillars of the UN, of course, I will embrace them",True,False,1,0
191,0,1097.489,1102.25,"If they became out of date, I will look at that, of course",True,False,1,0
192,0,1102.61,1109.192,"But coming back to the human rights issue, this is part of the three pillars of the UN",False,False,0,0
193,0,1109.652,1113.717,Human rights is part of the job description of the UN,False,False,0,0
194,0,1114.177,1121.905,"Everything we do, everything the organisation does, has to really look at human dignity",False,True,0,1
195,0,1122.806,1129.893,"Human dignity has to be at the centre of everything we do in development, everything we do in peace and security",False,True,0,2
196,0,1130.573,1131.533,and believe me,True,False,1,0
199,0,1142.976,1152.778,"Well, right now I would say every action that the UN does has to embed human dignity and human rights",True,False,1,0
200,0,1153.348,1160.013,"I don't know if there is, you know, the right environment to have a dedicated initiative",True,False,1,0
201,0,1160.313,1172.342,"What I can say, however, is the overall budget of the UN depends on how you come from one to three percent of the entire budget of the UN is dedicated to human rights",True,False,1,0
202,0,1172.783,1174.204,And this tells you something,False,False,0,0
203,0,1174.484,1176.245,We need to do more and better,False,True,0,1
204,0,1177.666,1180.61,in a context of austerity that we're living today,False,True,0,1
205,0,1181.331,1190.442,"Every good idea, every good idea is of course of you, especially if it has to do with strengthening the human rights pillar of the organization",False,False,0,0
210,0,1223.232,1229.456,The issue of building networks and partnerships is absolutely vital in the world of today,False,False,0,0
211,0,1230.016,1239.222,"When we speak about climate change, we understood a long time ago that climate change is not anymore an environmental issue",False,True,0,2
212,0,1240.123,1249.129,"We understood that climate shocks can trigger conflict, can alter entire macroeconomics of a country",False,True,0,1
213,0,1250.035,1254.136,"are connected to health, are connected to everything we do",False,True,0,1
214,0,1254.596,1261.958,So any response to the climate emergency has to factor in this complexity,False,False,0,0
215,0,1262.058,1267.32,But how can you factor in the complexity is to bring all the actors together,False,False,0,0
216,0,1267.76,1269.58,"You said something very important, Liz",False,False,0,0
217,0,1270.381,1278.843,"If you ask a person coming from Mars or Jupiter that we have met 31 times soon now in Turkey,",False,True,0,1
218,0,1279.613,1288.319,on conference of the parties to discuss and negotiate climate agreements and after 31 years emissions continue to grow,False,False,0,0
219,0,1288.919,1296.644,There is a huge implementation gap that we have to deal with and one of the answers to that is,False,True,0,1
220,0,1297.188,1307.899,"the complexity address climate change from a peace and security perspective, from a conflict perspective, from a health perspective, from a development perspective",False,False,0,0
221,0,1308.38,1312.864,It is the defining challenge of our times,False,True,0,1
222,0,1313.405,1315.787,Complexity requires complex responses,False,False,0,0
223,0,1316.528,1318.35,well organized responses,False,False,0,0
224,0,1318.51,1328.338,"I have to say within the UN, I would say there is a need for greater coherence, less duplication and better working together within the system",True,False,2,0
225,0,1328.518,1333.062,I have seen it from the outside and I think it needs a major restructuring,True,False,2,0
226,0,1334.462,1341.585,"the UN delivering as one on climate, supporting member states to respond to the climate challenges of today",False,False,0,0
227,0,1342.745,1348.107,"And just to say one more sentence, I am here representing a small island developing state",True,False,1,0
228,0,1348.815,1352.836,"I know, I know closely what a climate shock can do",True,False,2,0
229,0,1353.156,1359.257,It can devastate and erase the entire infrastructure of a country,False,False,0,0
230,0,1359.578,1362.178,So it is the defining challenge of our time,False,True,0,1
237,0,1393.168,1397.813,I think the Sustainable Development Goals are the right ambition,True,False,1,0
238,0,1398.014,1398.754,I said that,True,False,1,0
239,0,1403.267,1405.788,a reference and aspirational agenda,False,False,0,0
240,0,1405.948,1407.329,And I think it's very important,True,False,1,0
241,0,1407.749,1410.991,It's one of the big successes of multilateralism,False,False,0,0
242,0,1411.791,1424.558,"And what I would do before we get to 2030 is put in motion the acceleration plans for implementation, of course, but I think that the UN cannot be",True,True,2,1
243,0,1425.815,1429.298,an implementer of development projects on the ground,False,False,0,0
244,0,1429.458,1438.566,"I said development has to be owned by countries because developing countries, and I come from one, we need three things",True,True,2,1
245,0,1439.286,1440.568,And that's what I would work on,True,False,1,0
246,0,1441.148,1446.935,"The money, mobilized resources, the technologies, and the capacity, strong institutions",False,False,0,0
247,0,1447.015,1450.359,But the development cannot be delivered from New York,False,False,0,0
248,0,1450.459,1456.246,"It has to be delivered under the rule of local first, the subsidiarity principle",False,False,0,0
251,0,1475.3,1485.128,"Well, I will go to the first botanical garden next to me, if it's all buildings, because I think that nature gives you the energy",True,False,3,0
252,0,1485.568,1490.032,But I will also listen to elders and the elders that I grew up with,True,False,2,0
253,0,1490.632,1495.155,especially the ones I spent five years with in the Ecuadorian Amazon,True,False,1,0
254,0,1495.475,1500.839,"That was my school, my university, where I learned solidarity and resilience the most",True,False,3,0
255,0,1501.139,1502.32,I will call one of them,True,False,1,0
256,0,1502.54,1504.501,They do have cell phones these days,False,False,0,0
257,0,1504.801,1507.003,"At the time where I was living at the Amazon, they didn't",True,False,1,0
258,0,1507.383,1511.866,So I will listen to the voices of wisdom and connect to nature,True,False,1,0
259,0,1512.186,1513.127,To some tree baby,False,False,0,0
263,0,1516.99,1517.39,Thank you,False,False,0,0
264,0,1520.738,1521.119,Thank you,False,False,0,0
