segment,start,end,duration_seconds,text
83,497.036,511.002,13.97,"I think that what is important is to see a secretary general that is impartial, that is able to build bridges, to work with everybody."
84,511.502,514.503,3.0,I have shown that when I was president of the General Assembly.
85,515.024,517.425,2.4,I think we need a secretary general that is
86,519.214,531.7,12.49,"360 secretary-general that knows every pillar of the UN, that is not a person that is not a single-issue person, but more like a Renaissance leader."
87,533.746,550.637,16.89,"You also need, what I just said, Liz, you need an insider-outsider, knowing how the UN works, its potential, its challenges, but have, you know, been able to not be captured by the UN."
88,550.677,558.102,7.42,"I have never worked for the UN, but served the UN in many ways through the UN for about 25 years."
95,576.434,576.674,0.24,Yes.
96,577.875,578.936,1.06,I'm a poet.
97,579.076,581.657,2.58,I strongly believe in the power of words.
98,582.358,585.04,2.68,I strongly believe in the power of narratives.
100,586.681,590.163,3.48,"Communication, but also being faithful to what you say."
101,590.868,591.568,0.7,Okay.
102,591.688,593.549,1.86,And I think it's absolutely important.
103,593.709,600.572,6.86,"As a poet, I learn, first of all, to observe, to deep listen, and to act, and act firmly."
104,601.152,601.412,0.26,Okay.
105,601.432,605.734,4.3,"And I also, of course, learn about beauty and about creativity and innovation."
113,656.611,657.992,1.38,I think that they're vital.
114,658.592,664.676,6.08,"When I think about integrity, I don't think that integrity should be proclaimed."
115,665.476,666.417,0.94,It should be earned.
116,667.423,673.329,5.91,"through consistent behavior, and I can show that throughout my 25 years of career and public life."
117,674.109,682.578,8.47,"The second very important issue is I would sign the five principles that I read carefully right away, just now."
118,682.598,686.261,3.66,We'll get that from you.
119,686.321,692.047,5.73,"When I was exploring the possibility of putting my name forward as Secretary General,"
120,692.978,698.52,5.54,"I was the executive director of a very small NGO, not a UN agency."
121,700.321,710.524,10.2,"Before I started the consultations, I stepped down from my job just in case there was perception of conflict of interest."
122,710.624,712.385,1.76,"The issue of civil society,"
123,714.388,716.709,2.32,It's a little bit of who I am.
124,717.43,723.174,5.74,"In civil societies, participation and engagement is not only about ticking the box."
125,724.035,730.08,6.05,It is about understanding that the huge implementation gap of the United Nations
126,730.946,747.595,16.65,"is due to the lack of ownership, the lack of co-responsibility and lack of space of civil society to do the advice, the advocacy, the translation of UN decision-making into the daily life of people."
127,747.955,751.016,3.06,So the role of civil society is absolutely vital.
128,751.336,761.358,10.02,"Disclosing the financial, of course, not at the beginning and at the end, but during the process as well, ready to do that, very happy to do that, of course."
136,796.011,797.171,1.16,The veto power.
137,797.491,798.852,1.36,I'm assuming you would want to stop them.
138,799.696,803.061,3.37,What I'm saying is that the veto power is written in the Charter.
139,803.381,805.464,2.08,It's a principle that is in the Charter.
140,806.045,808.368,2.32,And I think we have to be very frank and honest.
141,808.809,812.073,3.26,What is the space of movement of the Secretary General?
142,812.481,825.393,12.91,"The Secretary General should provide good offices, create the platforms for member states, especially the P5 and the members of the Security Council, to come together to discuss issues, to respond quickly."
143,825.893,834.381,8.49,"That's where my early action hub makes sense, because the role of the UN is to prevent wars and protect people."
144,834.661,840.285,5.62,"You don't think there should be a veto when it comes to the worst abuses, the worst violations?"
145,840.345,847.99,7.64,"I can have my personal views on this, but I think what we're talking here is what is the role of the Secretary General."
146,848.31,861.6,13.29,"And the role of the Secretary General is a quiet diplomacy, back channels, to have a permanent and constant interaction and communication with the members of the Security Council, including the P5."
147,862.12,864.202,2.08,"Here, my personal opinion doesn't count."
148,864.542,874.733,10.19,"I will be the chief administrative officer of the UN, the lead diplomat, the lead advocate, but I cannot reinterpret the Charter, unfortunately."
150,881.299,889.606,8.31,"I can use my good offices in talking to the members of the Security Council, especially to the permanent five, of course."
151,889.886,891.148,1.26,It doesn't need to be public.
152,891.288,893.209,1.92,It doesn't need to make headlines.
153,893.469,896.092,2.62,That's part of the job of the Secretary General.
156,905.28,905.44,0.16,No?
157,906.12,906.861,0.74,"Yes, all good."
158,909.787,910.988,1.2,Go ahead.
163,939.817,946.959,7.14,"Well, now it's in fashion to say, you know, young people are important, youth are important."
164,948.019,955.141,7.12,"In the process of negotiating the pact of the future, we came out with a declaration for future generations."
165,955.941,961.083,5.14,"And the truth is that young people are not the future, they are the present."
166,961.71,965.955,4.25,"They have to be part of the conversation, part of the decision making."
167,966.516,971.942,5.43,"If you look at the team that is working with me right now, most of them are under 30."
168,972.443,975.967,3.52,And I listen to them because they are the most creative.
169,976.067,978.751,2.68,"They are the smartest, the well-informed."
170,979.251,980.672,1.42,And what would you do to include them?
171,981.052,988.314,7.26,"Well, first of all, we have the Declaration on Future Generations, a new and I applaud that a new office for young people."
172,988.674,996.397,7.72,"But basically, I would recruit as part of my senior team, young people, I'm working with them right now, and I will ensure"
173,996.777,1009.408,12.63,"that decision-making in the House brings in the advice, the voice and the space for young people to be part of a new multilateralism of the 21st century."
174,1009.729,1018.236,8.51,"Not to tick the box, but to make them part of the decision-making in the House, respecting, of course, the intergovernmental nature of the United Nations."
175,1018.476,1020.698,2.22,"But they are the agents of today, not of tomorrow."
187,1079.345,1079.965,0.62,This was in 2013.
188,1080.005,1081.385,1.38,"Thank you, Moon."
189,1081.806,1090.528,8.72,"First of all, I think all good initiatives from the past and the current administration are not a leader of slash and burn."
190,1091.048,1096.969,5.92,"All the good examples, all the good initiatives in the three pillars of the UN, of course, I will embrace them."
191,1097.489,1102.25,4.76,"If they became out of date, I will look at that, of course."
192,1102.61,1109.192,6.58,"But coming back to the human rights issue, this is part of the three pillars of the UN."
193,1109.652,1113.717,4.07,Human rights is part of the job description of the UN.
194,1114.177,1121.905,7.73,"Everything we do, everything the organisation does, has to really look at human dignity."
195,1122.806,1129.893,7.09,"Human dignity has to be at the centre of everything we do in development, everything we do in peace and security."
196,1130.573,1131.533,0.96,and believe me.
199,1142.976,1152.778,9.8,"Well, right now I would say every action that the UN does has to embed human dignity and human rights."
200,1153.348,1160.013,6.66,"I don't know if there is, you know, the right environment to have a dedicated initiative."
201,1160.313,1172.342,12.03,"What I can say, however, is the overall budget of the UN depends on how you come from one to three percent of the entire budget of the UN is dedicated to human rights."
202,1172.783,1174.204,1.42,And this tells you something.
203,1174.484,1176.245,1.76,We need to do more and better.
204,1177.666,1180.61,2.94,in a context of austerity that we're living today.
205,1181.331,1190.442,9.11,"Every good idea, every good idea is of course of you, especially if it has to do with strengthening the human rights pillar of the organization."
210,1223.232,1229.456,6.22,The issue of building networks and partnerships is absolutely vital in the world of today.
211,1230.016,1239.222,9.21,"When we speak about climate change, we understood a long time ago that climate change is not anymore an environmental issue."
212,1240.123,1249.129,9.01,"We understood that climate shocks can trigger conflict, can alter entire macroeconomics of a country."
213,1250.035,1254.136,4.1,"are connected to health, are connected to everything we do."
214,1254.596,1261.958,7.36,So any response to the climate emergency has to factor in this complexity.
215,1262.058,1267.32,5.26,But how can you factor in the complexity is to bring all the actors together.
216,1267.76,1269.58,1.82,"You said something very important, Liz."
217,1270.381,1278.843,8.46,"If you ask a person coming from Mars or Jupiter that we have met 31 times soon now in Turkey,"
218,1279.613,1288.319,8.71,on conference of the parties to discuss and negotiate climate agreements and after 31 years emissions continue to grow.
219,1288.919,1296.644,7.72,There is a huge implementation gap that we have to deal with and one of the answers to that is
220,1297.188,1307.899,10.71,"the complexity address climate change from a peace and security perspective, from a conflict perspective, from a health perspective, from a development perspective."
221,1308.38,1312.864,4.48,It is the defining challenge of our times.
222,1313.405,1315.787,2.38,Complexity requires complex responses.
223,1316.528,1318.35,1.82,well organized responses.
224,1318.51,1328.338,9.83,"I have to say within the UN, I would say there is a need for greater coherence, less duplication and better working together within the system."
225,1328.518,1333.062,4.54,I have seen it from the outside and I think it needs a major restructuring.
226,1334.462,1341.585,7.12,"the UN delivering as one on climate, supporting member states to respond to the climate challenges of today."
227,1342.745,1348.107,5.36,"And just to say one more sentence, I am here representing a small island developing state."
228,1348.815,1352.836,4.02,"I know, I know closely what a climate shock can do."
229,1353.156,1359.257,6.1,It can devastate and erase the entire infrastructure of a country.
230,1359.578,1362.178,2.6,So it is the defining challenge of our time.
237,1393.168,1397.813,4.65,I think the Sustainable Development Goals are the right ambition.
238,1398.014,1398.754,0.74,I said that.
239,1403.267,1405.788,2.52,a reference and aspirational agenda.
240,1405.948,1407.329,1.38,And I think it's very important.
241,1407.749,1410.991,3.24,It's one of the big successes of multilateralism.
242,1411.791,1424.558,12.77,"And what I would do before we get to 2030 is put in motion the acceleration plans for implementation, of course, but I think that the UN cannot be"
243,1425.815,1429.298,3.48,an implementer of development projects on the ground.
244,1429.458,1438.566,9.11,"I said development has to be owned by countries because developing countries, and I come from one, we need three things."
245,1439.286,1440.568,1.28,And that's what I would work on.
246,1441.148,1446.935,5.79,"The money, mobilized resources, the technologies, and the capacity, strong institutions."
247,1447.015,1450.359,3.34,But the development cannot be delivered from New York.
248,1450.459,1456.246,5.79,"It has to be delivered under the rule of local first, the subsidiarity principle."
251,1475.3,1485.128,9.83,"Well, I will go to the first botanical garden next to me, if it's all buildings, because I think that nature gives you the energy."
252,1485.568,1490.032,4.46,But I will also listen to elders and the elders that I grew up with.
253,1490.632,1495.155,4.52,especially the ones I spent five years with in the Ecuadorian Amazon.
254,1495.475,1500.839,5.36,"That was my school, my university, where I learned solidarity and resilience the most."
255,1501.139,1502.32,1.18,I will call one of them.
256,1502.54,1504.501,1.96,They do have cell phones these days.
257,1504.801,1507.003,2.2,"At the time where I was living at the Amazon, they didn't."
258,1507.383,1511.866,4.48,So I will listen to the voices of wisdom and connect to nature.
259,1512.186,1513.127,0.94,To some tree baby.
263,1516.99,1517.39,0.4,Thank you.
264,1520.738,1521.119,0.38,Thank you.
