start	end	text
540987	545752	Can you briefly give us a sense of the kind of skills and experience you would bring to the job?
545972	557924	For example, in your role as the head of IAA, you have really had a difficult juggling act between members of the UN, in this case over Iran's nuclear program, of course an escalating war.
558365	562029	What have you learned in this process that makes you the person for this job?
562596	565878	Well, I think that I was trying to address this just now.
567379	581408	I have seen in this job, which is still ongoing, we see what is happening with Iran and the negotiations, that it is possible to be an impartial but active and influential
581988	582308	player.
582749	593240	It has been possible for me to talk to Vladimir Putin several times and then to go to Volodymyr Zelensky several times and then continue and to iterate until I find a solution.
593680	595222	So it's not a theory for me.
595522	596363	It's my job.
596763	597484	It's what I do.
598425	604952	Only thing that the UN would allow us to be operative in a wider platform.
606775	608116	We'd like some commitments from you.
608436	609337	This is on the record.
609517	610498	People are taking notes.
611038	621645	The one for 8 billion campaign and the UN Associated UK is a founding partner in this, has called on all candidates to commit publicly to five principles during this campaign.
622226	624508	One, publishing financial disclosures.
625048	627289	Two, engaging with civil society.
627850	634655	Three, participating in transparent general assembly and security council processes.
635135	636416	Four, respecting
636768	645831	Article 100 of the UN Charter, which as you know means independence for Member States, and avoiding conflicts of interest with any current UN rules.
646312	649173	Do you commit to those five principles, and if so, why?
649533	660517	I think in those principles there is so much common sense that it would be hard to imagine that any candidate or anybody would have a problem with those.
661097	663059	Subscribing formally, I can't.
663179	675952	I am an elected, I remember, I am an elected leader of an organization and so the only principles I can subscribe to are those that are produced by my policy-making organs.
676212	681658	But of course, those principles are sane, are full of, I would say, common sense.
682038	683900	So who can have a problem with that?
684762	686263	Let's start with questions from the audience.
686283	688723	This one comes from Georgios Costakos.
688803	693685	He's with the Peace Reflection Group of former UN staff, all the way from Greece.
694245	696166	Now his question, you've touched on this already.
696626	708390	How will you publicly speak truth to power and invoke your political authority under Article 99 of the UN Charter to bring even major power violations before the Security Council?
709130	718421	upholding the peaceful settlement of disputes and pursuing active, quiet diplomacy and mediation as appropriate.
719142	723146	There are two elements there.
723186	728533	There is one specific in the Charter, which is Article 99, when the Secretary-General feels there is one issue.
729073	743134	And then there is the array of issues that he mentions in his question, which come under Chapter 6 of the Charter, when you have all the means of diplomatic expression that a secretary-general can bring to the job.
743995	752297	doing all these things in consulting, in talking, in proposing, which is what we have been doing at the IAEA.
752717	761960	So I believe in a Secretary General there is constantly engaging in this kind of activity as opposed to
762820	769706	Article 99 as seeing as something that you only touch or you press the button and then something magic is going to happen.
769746	771528	It has been invoked and nothing happened.
771888	786821	So I believe in a constant, of course, that is a competence and the drafters of the charter were wise in indicating that the secretary general is not just a chief administrative officer.
787242	788603	It's much more than that.
789835	797762	So just very briefly, to be clear, you believe that you should use your megaphone, you should speak out, you should in some ways name in shame?
799023	799804	Well, it depends.
800605	800965	It depends.
801005	802286	Since we are in a church,
803146	805988	You know, remember the gospel, there is time to talk.
806548	808189	There is a time not to do it.
808509	809690	There is a time to observe.
809730	812131	There is a time to laugh, and there is a time to cry.
812511	812892	And pray.
813732	814392	Absolutely.
814653	820136	So I think, of course, the secretary general is a voice, much more than a voice.
820516	826820	And on occasion, he or she may need to express principles.
827260	832383	But for me, principles must be expressed in a pragmatic way.
832923	842629	Because the Secretary General is not a force which is there as a moral compass of the world or a judge that is attributing guilty or innocence.
843130	847753	He or she must be an active actor in international relations.
847853	851115	And this is what we so desperately need at this moment.
852053	855157	A question from India, from Mandeep Tiwana from Civicus.
855697	859902	The present critique of the UN is that it's far too state-centric.
860443	872097	What are your plans to make the UN truly a people's United Nations that enables meaningful participation of citizens and civil society in resolving the world's problems?
872417	872997	Yeah, indeed.
873017	885964	Of course, the UN is an intergovernmental organization and member states are the ones taking decisions, and that is the normal setup of the UN.
885984	891487	At the same time, we live in a world where the expression, societal expression, has a role.
891887	893648	And it has been having that.
893808	895289	Your plans, though, to make this happen?
896356	897197	It is happening.
897317	897597	It is.
898037	899458	I believe it is happening.
899638	900859	It should.
901059	907824	Well, if you mean by plan having an office or creating more bureaucracy for that, no, because it's not needed.
907964	909605	Of course, you talk to everybody.
909625	919732	You have to be at the end of the day, we are accountable to the people out there who, by the way, have a very poor opinion of the UN, if we care to ask.
921558	929001	A question from the floor now, from Sanam Nargi Anderlini from the International Civil Society Action Network.
929281	929521	Hello.
932902	947288	The Women, Peace and Security agenda passed in 2000 with 10 Security Council resolutions has been one of the most transformative agendas addressing conflict prevention, resolution, terrorism, security and humanitarian issues.
948642	965616	but it's been siloed and implemented in ad hoc ways, disjointed from the women-led civil society ecosystem that is leading much of the crisis response around the world globally that we have, and it's never had senior leadership at the UN.
967678	974224	Civil society has long called for a special representative of the Secretary General,
974935	979578	on women peace and security to enable the effective action and the efficiency needed.
980478	995447	What plans do you have to elevate this agenda, partner with women's peace building networks, and to realize the potential of the agenda and the promise of we the people of the United Nations?
995987	996348	Thank you.
997308	998468	Thank you very much.
998588	1005771	Of course, those words have resonated ever since 1945, we the peoples.
1006251	1013533	But as I said before, I am a bit skeptical about creating offices, creating representatives.
1014153	1020198	In fact, one of my ideas is to reduce the number of special representatives and special offices.
1020498	1027423	I think the Secretary General has a political responsibility to do some of the things that you are saying and being accountable for those.
1028564	1034788	Even if you don't appoint a special envoy, do you agree with Sanam that more work has to be done on the women, peace and security?
1034928	1036730	It's an evidence.
1037535	1038375	It's an evidence.
1038935	1039656	It's an evidence.
1039956	1055419	But this is why I say that it is in the area of international peace and security there is a moral and statutory obligation for the Secretary General to assume these roles.
1055479	1061061	This proliferation of figures has become too much.
1062582	1063803	and it has to be stopped.
1064463	1064804	Thank you.
1065244	1069028	I can tell you that if you get the job, people like Sanam will make...
1069228	1071871	Absolutely, she will be more than welcome.
1072932	1074633	Question from the audience.
1074713	1076515	Peter Reavy is here tonight.
1077436	1077996	Where are you?
1078217	1078857	Peter's not here?
1080219	1080579	Not there.
1081540	1082240	Any other Peters?
1084414	1085594	I'll read Peter's question.
1086035	1100820	With the recent successful UN resolution for all UN member states to take all possible steps to avoid causing significant damage to the climate, what will you do to ensure the world we all share together will be at the heart of their work?
1101140	1102000	So, climate.
1102420	1109983	Well, one of the biggest challenges we have collectively, I would say, and one which is
1110783	1117646	I would say closely intertwined with the discussions on energy, on energy security.
1117686	1122448	These are agendas that have come combined in the past few years.
1122588	1135994	I think we have reached important milestones in terms of climate, in terms of what we need to do, and at the same time we see that we are far from that.
1136295	1136755	A little bit
1138312	1143514	What I said in development, we see that there is a divergence.
1143634	1155880	Some things have been done, the International Panel on Climate Change, and these are things that we follow very closely from the IAEA, because we are the only organization in the system that has energy in the title.
1156700	1160322	So we are following that, but we see that there is a discrepancy.
1160922	1167928	between certain goals that are diplomatically agreed and the possibility to bring them forward.
1168188	1176674	So I think there has to be a more synchronic work in terms of energy and the climate diplomacy.
1176995	1189584	It is also very, very important, I think, after 30 conferences, and I think we have endured a few of those, a conference of the parties, these COPs have become an unmanageable
1191346	1205760	I don't know, I suppose that some of you, maybe several, have been attending those and now it has become a yearly manifestation with thousands of organizations, commercial sites, so I think there's a need to refocus.
1206961	1228476	because in particular, vulnerable countries, small island development states, et cetera, they do have an existential stake on issues related to climate, but also other countries have an economic stake on what they need for their economic development in terms of energy.
1228496	1233140	So trying to bring together those agendas, for me, it will be very, very important.
1233572	1236053	and maybe even an end to those COP conferences.
1236794	1242577	I think Hannah Musavi from the lovingly named Pomegranate House, gender and governance NGO.
1242617	1242937	Hello.
1247505	1249286	Hi, thank you very much.
1249627	1268760	So given the rapidly changing global environment, including the shift in funding streams and the growing influence of major donors, how will you safeguard the integrity and the independence of the United Nations so it continues to serve all nations rather than just the interests of the most powerful actors
1269260	1276369	or contributors, and this also relates to conflicting agendas that these actors may have versus the United Nations.
1276789	1277470	Well, thank you.
1277670	1283076	An important issue, and we've been having important conversations with philanthropists today.
1283116	1284478	This is very important.
1284758	1287501	For one thing, I think we need to
1289043	1296049	make it so that we re-engage with the membership and that assessed contributions are paid.
1297110	1303094	Without that, it will be very difficult for us, for the organization, to carry out its mission.
1303575	1309800	As the Secretary General has rightly described, we are facing a very, very serious financial crisis.
1310620	1317983	at the moment, which compromises the ability of the UN to work or to work efficiently.
1318543	1331628	For that to be corrected, I think there is this trust deficit that I was pointing out in my introductory words, in the sense that there has to be a reconnection
1332928	1351554	between the Secretary General and the major contributing countries to make sure that we can have again, because this has been broken, we have again a constructive relationship when countries are willingly and convinced of the support they're giving us.
1351614	1360137	In terms of donors, when you were referring to that, you were referring to private sector or non-traditional donors, if I may ask you.
1361684	1362284	In general.
1362625	1367247	Yeah, in general.
1367327	1367887	Yeah.
1367927	1368108	Yeah.
1368348	1381495	Well, I addressed the state side of the equation, which has to do with this deficit in terms of trust, confidence that needs to be repaired.
1381915	1388539	In terms of others, I think the UN, as you know, has
1389459	1406245	in place important guardrails or norms to ensure that out of voluntary contributions coming from the private sector, no undue influence comes.
1406605	1412047	But I think it is very important to be able to, I would say, engage even more
1412667	1419289	And I was referring to this conversation I was having with philanthropists like the other candidates today.
1420909	1421930	Look at this example.
1422170	1430332	In today's world, the Gates Foundation has become the second largest contributor to the World Health Organization.
1432904	1444569	Setting aside body judgments, that in itself tells you that important tectonic plates are moving and we have to be watching that as well to be able to perform better.
1445910	1460137	Professor Grossi, your time is almost up but I can't let you go before you reassure the audience that you're not going to be a secretary general who starts with high energy and then you end up exhausted and fed up and frustrated.
1460177	1460997	How will you relax?
1462627	1465008	Well, I would say it's very difficult these days.
1465389	1479857	As you know, we discuss sometimes out of this framework of the issues that I am dealing with, the crisis in Iran, and we are in dramatic hours on this or what is happening in Ukraine.
1480197	1481078	How will you relax?
1481538	1483479	How do I react?
1483720	1487682	You know, sports, and of course, you know, I come from Argentina, football.
1487842	1490384	OK, you're going to have to run to rig, Dan.
1490404	1491045	Thank you, Rafael.
1491065	1491485	Absolutely.
1491505	1492386	Thank you very much.
1493267	1493667	Thank you, Rafael.
1493687	1494628	It's really good to see you.
1494648	1495028	Good luck.
1495048	1495429	Good luck.
